SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
ASHOKLEY,2011,21,68,41.6923,14.0834148
ASHOKLEY,2012,21,32,25.7652,2.637613759
ASHOKLEY,2014,15,55,32.1408,12.14848947
ASIANELEC,2010,17,43,28.0876,5.076338248
ASIANELEC,2011,5,21,11.6632,3.662356234
ASIANELEC,2012,6,9,6.9,0.888819442
ASIANHOTEL,2010,482,564,528.8286,20.99045458
ASIANHOTNR,2010,249,504,380.5026,74.73796372
ASIANHOTNR,2011,158,256,202.6113,24.17519459
ASIANHOTNR,2012,161,229,188.919,13.88069182
ASIANHOTNR,2014,96,165,123.5845,18.31271511
ASIANPAINT,2010,1761,2964,2354.2829,354.2617424
ASIANPAINT,2011,2401,3314,2889.2429,263.8171326
ASIANPAINT,2012,2590,4444,3611.8016,442.8600426
ASIANPAINT,2014,469,797,582.8732,89.63807189
ASIANTILES,2010,53,76,64.5367,5.484007785
ASIANTILES,2011,29,61,44.7042,6.371157611
ASIANTILES,2012,31,51,44.1962,3.725483336
ASIANTILES,2014,26,170,68.1273,47.66971768
ASIL,2010,2,7,4.4375,1.820861937
ASIL,2011,2,5,3.2424,0.993320206
ASIL,2012,1,2,1.3846,0.486504255
ASIL,2014,0,1,0.4118,0.492152957
ASSAMCO,2010,17,28,21.2948,2.055197732
ASSAMCO,2011,6,21,14.1053,3.63811534
ASSAMCO,2012,5,10,6.7123,1.004275591
ASSAMCO,2014,4,8,5.2535,0.945237281
ASTEC,2010,46,91,68.4263,12.07832777
ASTEC,2011,22,62,42.1053,9.352144347
ASTEC,2012,23,33,27.8038,2.913214895
ASTEC,2014,33,117,63.1368,25.51718241
ASTERSILI,2010,31,245,58.7091,33.4613333
ASTERSILI,2011,8,41,21.1073,7.979131019
ASTERSILI,2012,7,13,8.9494,1.745872051
ASTRAL,2010,146,295,201.9801,35.37217605
ASTRAL,2011,121,217,165.3077,26.75444005
ASTRAL,2012,130,387,243.4453,68.65029058
ASTRAL,2014,315,841,521.5915,160.5965181
ASTRAMICRO,2010,45,83,65.7689,6.060977532
ASTRAMICRO,2011,23,49,34.1781,6.304089651
ASTRAMICRO,2012,34,46,39.5911,2.697802678
ASTRAMICRO,2014,48,153,97.1268,33.78095537
ASTRAZEN,2010,810,1362,1049.0319,168.9196719
ASTRAZEN,2011,1101,1412,1263.791,63.77458832
ASTRAZEN,2012,1230,2588,1756.753,257.6826653
ASTRAZEN,2014,732,1241,984.0563,140.7598482
ATFL,2010,226,375,282.502,32.75556879
ATFL,2011,297,442,371.4656,31.35815422
ATFL,2012,388,511,445.6599,24.17475456
ATFL,2014,465,669,554.2183,55.11180904
ATLANTA,2010,74,497,267.4223,112.9919652
ATLANTA,2011,57,129,75.4575,14.26914562
ATLANTA,2012,35,67,53.6478,9.146215844
ATLANTA,2014,35,75,55.3732,12.724939
ATLASCYCLE,2010,192,298,229.7092,26.08412447
ATLASCYCLE,2011,206,463,278.3158,56.89368599
ATLASCYCLE,2012,268,436,378.1436,37.99446515
ATLASCYCLE,2014,212,309,254.0634,20.30756981
ATNINTER,2010,1,3,1.9337,0.289831537
ATNINTER,2011,1,2,1.2263,0.418460043
ATNINTER,2012,1,1,1,0
ATNINTER,2014,0,1,0.3621,0.480598616
ATUL,2010,80,208,121.3984,36.69754485
ATUL,2011,134,232,183.5344,19.43237599
ATUL,2012,140,467,267.9231,95.52034225
ATUL,2014,401,1446,901.0141,378.8129901
ATULAUTO,2014,298,820,476.6923,135.4500862
AURIONPRO,2010,212,334,271.4766,26.34134159
AURIONPRO,2011,110,235,163.566,32.10035644
AURIONPRO,2012,98,137,115.6066,6.33175367
AURIONPRO,2014,89,327,217.9854,65.66626364
AUROPHARMA,2010,805,1341,1012.6375,144.6079741
AUROPHARMA,2011,82,1360,275.4696,345.2196832
AUROPHARMA,2012,86,198,128.3239,28.43745101
AUROPHARMA,2014,378,1162,720.8521,224.9484118
AUSOMENT,2010,18,45,31.7737,7.159285432
AUSOMENT,2011,31,51,40.4126,4.893736072
AUSOMENT,2012,16,37,23.3095,5.175436928
AUSOMENT,2014,9,18,12.7391,3.390746888
AUSTRAL,2010,4,10,6.5657,1.452659792
AUSTRAL,2011,1,5,2.7006,0.801789147
AUSTRAL,2012,1,2,1.1186,0.323369221
AUSTRAL,2014,0,1,0.8462,0.360801212
AUTOAXLES,2010,337,533,428.4343,55.49019745
AUTOAXLES,2011,325,457,401.5164,30.12834122
AUTOAXLES,2012,336,533,424.3293,59.23785352
AUTOAXLES,2014,247,831,512.5352,173.2025462
AUTOIND,2010,104,265,165.012,50.19051212
AUTOIND,2011,71,225,135.664,31.29131176
AUTOIND,2012,98,202,159.5547,18.00596079
AUTOIND,2014,62,108,82.1408,11.21341723
AUTOLITIND,2010,22,44,30.6847,3.804212508
AUTOLITIND,2011,12,26,18.8299,3.065011285
AUTOLITIND,2012,14,24,16.5225,1.382901429
AUTOLITIND,2014,16,40,26.5259,5.645353913
AVANTI,2010,22,41,30.4,5.592852582
AVANTI,2011,33,69,38.5688,6.654530294
